Questions List (OMR)
Subject 1: Accountancy/Book Keeping (301) (Test Booklet No.: 28097153)
Sr. No.	Question ID	Captured Response as per OMR	Options/Answer for Challenge
20.	20	3	1 2 3 4
21.	21	2	1 2 3 4
22.	22	2	1 2 3 4
23.	23	-	1 2 3 4
24.	24	3	1 2 3 4
25.	25	4	1 2 3 4
26.	26	2	1 2 3 4
27.	27	4	1 2 3 4
28.	28	3	1 2 3 4
29.	29	1	1 2 3 4
30.	30	2	1 2 3 4
31.	31	2	1 2 3 4
32.	32	3	1 2 3 4
33.	33	-	1 2 3 4
34.	34	2	1 2 3 4
35.	35	-	1 2 3 4
36.	36	3	1 2 3 4
37.	37	2	1 2 3 4
38.	38	3	1 2 3 4
39.	39	3	1 2 3 4
40.	40	1	1 2 3 4
41.	41	4	1 2 3 4
42.	42	1	1 2 3 4
43.	43	2	1 2 3 4
44.	44	4	1 2 3 4
45.	45	-	1 2 3 4
46.	46	2	1 2 3 4
47.	47	3	1 2 3 4
48.	48	-	1 2 3 4
49.	49	1	1 2 3 4
50.	50	-	1 2 3 4
Claimed Answer Key List Upload Document: Economics/Business Economics (309)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 4: English (101) (Test Booklet No.: 11929124)
Sr. No.	Question ID	Captured Response as per OMR	Options/Answer for Challenge
1.	1	1	1 2 3 4
2.	2	1	1 2 3 4
3.	3	2	1 2 3 4
4.	4	2	1 2 3 4
5.	5	1	1 2 3 4
6.	6	4	1 2 3 4
7.	7	2	1 2 3 4
8.	8	3	1 2 3 4
9.	9	-	1 2 3 4
10.	10	2	1 2 3 4
11.	11	1	1 2 3 4
12.	12	2	1 2 3 4
13.	13	1	1 2 3 4
14.	14	4	1 2 3 4
15.	15	4	1 2 3 4
16.	16	2	1 2 3 4
17.	17	3	1 2 3 4
18.	18	1	1 2 3 4
19.	19	1	1 2 3 4
20.	20	3	1 2 3 4
21.	21	3	1 2 3 4
22.	22	4	1 2 3 4
23.	23	3	1 2 3 4
24.	24	-	1 2 3 4
25.	25	-	1 2 3 4
26.	26	3	1 2 3 4
27.	27	2	1 2 3 4
28.	28	-	1 2 3 4
29.	29	4	1 2 3 4
30.	30	1	1 2 3 4
31.	31	4	1 2 3 4
32.	32	3	1 2 3 4
33.	33	4	1 2 3 4
34.	34	2	1 2 3 4
35.	35	-	1 2 3 4
36.	36	-	1 2 3 4
37.	37	1	1 2 3 4
38.	38	1	1 2 3 4
39.	39	-	1 2 3 4
40.	40	4	1 2 3 4
41.	41	1	1 2 3 4
42.	42	3	1 2 3 4
43.	43	2	1 2 3 4
44.	44	2	1 2 3 4
45.	45	4	1 2 3 4
46.	46	-	1 2 3 4
47.	47	2	1 2 3 4
48.	48	3	1 2 3 4
49.	49	-	1 2 3 4
50.	50	-	1 2 3 4
Claimed Answer Key List Upload Document: English (101)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 5: General Test (501) (Test Booklet No.: 13893964)
Sr. No.	Question ID	Captured Response as per OMR	Options/Answer for Challenge
1.	1	-	1 2 3 4
2.	2	2	1 2 3 4
3.	3	1	1 2 3 4
4.	4	3	1 2 3 4
5.	5	4	1 2 3 4
6.	6	4	1 2 3 4
7.	7	3	1 2 3 4
8.	8	1	1 2 3 4
9.	9	2	1 2 3 4
10.	10	1	1 2 3 4
11.	11	4	1 2 3 4
12.	12	4	1 2 3 4
13.	13	1	1 2 3 4
14.	14	4	1 2 3 4
15.	15	1	1 2 3 4
16.	16	1	1 2 3 4
17.	17	4	1 2 3 4
18.	18	2	1 2 3 4
19.	19	3	1 2 3 4
20.	20	2	1 2 3 4
21.	21	3	1 2 3 4
22.	22	4	1 2 3 4
23.	23	2	1 2 3 4
24.	24	2	1 2 3 4
25.	25	1	1 2 3 4
26.	26	1	1 2 3 4
27.	27	3	1 2 3 4
28.	28	1	1 2 3 4
29.	29	3	1 2 3 4
30.	30	2	1 2 3 4
31.	31	1	1 2 3 4
32.	32	3	1 2 3 4
33.	33	1	1 2 3 4
34.	34	-	1 2 3 4
35.	35	2	1 2 3 4
36.	36	3	1 2 3 4
37.	37	-	1 2 3 4
38.	38	2	1 2 3 4
39.	39	-	1 2 3 4
40.	40	1	1 2 3 4
41.	41	3	1 2 3 4
42.	42	-	1 2 3 4
43.	43	-	1 2 3 4
44.	44	2	1 2 3 4
45.	45	4	1 2 3 4
46.	46	3	1 2 3 4
47.	47	-	1 2 3 4
48.	48	-	1 2 3 4
49.	49	2	1 2 3 4
50.	50	-	1 2 3 4
51.	51	-	1 2 3 4
52.	52	1	1 2 3 4
53.	53	4	1 2 3 4
54.	54	3	1 2 3 4
55.	55	3	1 2 3 4
56.	56	2	1 2 3 4
57.	57	-	1 2 3 4
58.	58	1	1 2 3 4
59.	59	2	1 2 3 4
60.	60	3	1 2 3 4
Claimed Answer Key List Upload Document: General Test (501)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 6: Mathematics / Applied Mathematics (319) (Test Booklet No.: 23241223)
Sr. No.	Question ID	Captured Response as per OMR	Options/Answer for Challenge
1.	1	4	1 2 3 4
2.	2	2	1 2 3 4
3.	3	1	1 2 3 4
4.	4	4	1 2 3 4
5.	5	3	1 2 3 4
6.	6	2	1 2 3 4
7.	7	2	1 2 3 4
8.	8	4	1 2 3 4
9.	9	2	1 2 3 4
10.	10	4	1 2 3 4
11.	11	2	1 2 3 4
12.	12	4	1 2 3 4
13.	13	4	1 2 3 4
14.	14	2	1 2 3 4
15.	15	1	1 2 3 4
16.	16	2	1 2 3 4
17.	17	2	1 2 3 4
18.	18	1	1 2 3 4
19.	19	3	1 2 3 4
20.	20	4	1 2 3 4
21.	21	4	1 2 3 4
22.	22	4	1 2 3 4
23.	23	2	1 2 3 4
24.	24	-	1 2 3 4
25.	25	1	1 2 3 4
26.	26	1	1 2 3 4
27.	27	-	1 2 3 4
28.	28	4	1 2 3 4
29.	29	4	1 2 3 4
30.	30	3	1 2 3 4
31.	31	3	1 2 3 4
32.	32	1	1 2 3 4
33.	33	-	1 2 3 4
34.	34	3	1 2 3 4
35.	35	3	1 2 3 4
36.	36	2	1 2 3 4
37.	37	-	1 2 3 4
38.	38	1	1 2 3 4
39.	39	1	1 2 3 4
40.	40	-	1 2 3 4
41.	41	3	1 2 3 4
42.	42	-	1 2 3 4
43.	43	4	1 2 3 4
44.	44	-	1 2 3 4
45.	45	-	1 2 3 4
46.	46	1	1 2 3 4
47.	47	-	1 2 3 4
48.	48	2	1 2 3 4
49.	49	4	1 2 3 4
50.	50	-	1 2 3 4
51.	51	-	1 2 3 4
52.	52	-	1 2 3 4
53.	53	-	1 2 3 4
54.	54	-	1 2 3 4
55.	55	-	1 2 3 4
56.	56	-	1 2 3 4
57.	57	-	1 2 3 4
58.	58	-	1 2 3 4
59.	59	-	1 2 3 4
60.	60	-	1 2 3 4
61.	61	-	1 2 3 4
62.	62	-	1 2 3 4
63.	63	-	1 2 3 4
64.	64	-	1 2 3 4
65.	65	-	1 2 3 4
66.	66	-	1 2 3 4
67.	67	-	1 2 3 4
68.	68	-	1 2 3 4
69.	69	-	1 2 3 4
70.	70	-	1 2 3 4
71.	71	-	1 2 3 4
72.	72	-	1 2 3 4
73.	73	-	1 2 3 4
74.	74	-	1 2 3 4
75.	75	-	1 2 3 4
76.	76	-	1 2 3 4
77.	77	-	1 2 3 4
78.	78	-	1 2 3 4
79.	79	-	1 2 3 4
80.	80	-	1 2 3 4
81.	81	-	1 2 3 4
82.	82	-	1 2 3 4
83.	83	-	1 2 3 4
84.	84	-	1 2 3 4
85.	85	-	1 2 3 4
Claimed Answer Key List Upload Document: Mathematics / Applied Mathematics (319)
