Questions List (OMR)
Subject 1: Accountancy/Book Keeping (301)
Sr. No.	Question ID	Correct Options/Answers	Options/Answer for Challenge
32.	32	3	1 2 3 4 None of these
33.	33	3	1 2 3 4 None of these
34.	34	2	1 2 3 4 None of these
35.	35	1	1 2 3 4 None of these
36.	36	3	1 2 3 4 None of these
37.	37	2	1 2 3 4 None of these
38.	38	3	1 2 3 4 None of these
39.	39	3	1 2 3 4 None of these
40.	40	4	1 2 3 4 None of these
41.	41	4	1 2 3 4 None of these
42.	42	4	1 2 3 4 None of these
43.	43	2	1 2 3 4 None of these
44.	44	4	1 2 3 4 None of these
45.	45	4	1 2 3 4 None of these
46.	46	2	1 2 3 4 None of these
47.	47	3	1 2 3 4 None of these
48.	48	3	1 2 3 4 None of these
49.	49	1	1 2 3 4 None of these
50.	50	2	1 2 3 4 None of these
Claimed Answer Key List Upload Document: Economics/Business Economics (309)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 4: English (101)
Sr. No.	Question ID	Correct Options/Answers	Options/Answer for Challenge
1.	1	1	1 2 3 4 None of these
2.	2	3	1 2 3 4 None of these
3.	3	2	1 2 3 4 None of these
4.	4	2	1 2 3 4 None of these
5.	5	3	1 2 3 4 None of these
6.	6	4	1 2 3 4 None of these
7.	7	4	1 2 3 4 None of these
8.	8	3	1 2 3 4 None of these
9.	9	4	1 2 3 4 None of these
10.	10	2	1 2 3 4 None of these
11.	11	1	1 2 3 4 None of these
12.	12	2	1 2 3 4 None of these
13.	13	1	1 2 3 4 None of these
14.	14	4	1 2 3 4 None of these
15.	15	4	1 2 3 4 None of these
16.	16	2	1 2 3 4 None of these
17.	17	3	1 2 3 4 None of these
18.	18	1	1 2 3 4 None of these
19.	19	1	1 2 3 4 None of these
20.	20	3	1 2 3 4 None of these
21.	21	3	1 2 3 4 None of these
22.	22	2	1 2 3 4 None of these
23.	23	3	1 2 3 4 None of these
24.	24	2	1 2 3 4 None of these
25.	25	2	1 2 3 4 None of these
26.	26	3	1 2 3 4 None of these
27.	27	2	1 2 3 4 None of these
28.	28	2	1 2 3 4 None of these
29.	29	4	1 2 3 4 None of these
30.	30	1	1 2 3 4 None of these
31.	31	3	1 2 3 4 None of these
32.	32	3	1 2 3 4 None of these
33.	33	3	1 2 3 4 None of these
34.	34	2	1 2 3 4 None of these
35.	35	1	1 2 3 4 None of these
36.	36	3	1 2 3 4 None of these
37.	37	1	1 2 3 4 None of these
38.	38	1	1 2 3 4 None of these
39.	39	1	1 2 3 4 None of these
40.	40	4	1 2 3 4 None of these
41.	41	1	1 2 3 4 None of these
42.	42	3	1 2 3 4 None of these
43.	43	1	1 2 3 4 None of these
44.	44	2	1 2 3 4 None of these
45.	45	2	1 2 3 4 None of these
46.	46	2	1 2 3 4 None of these
47.	47	D	1 2 3 4 None of these
48.	48	2	1 2 3 4 None of these
49.	49	1	1 2 3 4 None of these
50.	50	1	1 2 3 4 None of these
Claimed Answer Key List Upload Document: English (101)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 5: General Test (501)
Sr. No.	Question ID	Correct Options/Answers	Options/Answer for Challenge
1.	1	4	1 2 3 4 None of these
2.	2	2	1 2 3 4 None of these
3.	3	1	1 2 3 4 None of these
4.	4	2	1 2 3 4 None of these
5.	5	4	1 2 3 4 None of these
6.	6	4	1 2 3 4 None of these
7.	7	3	1 2 3 4 None of these
8.	8	1	1 2 3 4 None of these
9.	9	2	1 2 3 4 None of these
10.	10	2	1 2 3 4 None of these
11.	11	1	1 2 3 4 None of these
12.	12	4	1 2 3 4 None of these
13.	13	1	1 2 3 4 None of these
14.	14	3	1 2 3 4 None of these
15.	15	1	1 2 3 4 None of these
16.	16	4	1 2 3 4 None of these
17.	17	4	1 2 3 4 None of these
18.	18	2	1 2 3 4 None of these
19.	19	3	1 2 3 4 None of these
20.	20	2	1 2 3 4 None of these
21.	21	3	1 2 3 4 None of these
22.	22	3	1 2 3 4 None of these
23.	23	2	1 2 3 4 None of these
24.	24	2	1 2 3 4 None of these
25.	25	1	1 2 3 4 None of these
26.	26	3	1 2 3 4 None of these
27.	27	3	1 2 3 4 None of these
28.	28	1	1 2 3 4 None of these
29.	29	3	1 2 3 4 None of these
30.	30	2	1 2 3 4 None of these
31.	31	2	1 2 3 4 None of these
32.	32	3	1 2 3 4 None of these
33.	33	1	1 2 3 4 None of these
34.	34	4	1 2 3 4 None of these
35.	35	2	1 2 3 4 None of these
36.	36	3	1 2 3 4 None of these
37.	37	1	1 2 3 4 None of these
38.	38	4	1 2 3 4 None of these
39.	39	3	1 2 3 4 None of these
40.	40	1	1 2 3 4 None of these
41.	41	2	1 2 3 4 None of these
42.	42	1	1 2 3 4 None of these
43.	43	1	1 2 3 4 None of these
44.	44	4	1 2 3 4 None of these
45.	45	1	1 2 3 4 None of these
46.	46	2	1 2 3 4 None of these
47.	47	2	1 2 3 4 None of these
48.	48	1	1 2 3 4 None of these
49.	49	2	1 2 3 4 None of these
50.	50	1	1 2 3 4 None of these
51.	51	4	1 2 3 4 None of these
52.	52	3	1 2 3 4 None of these
53.	53	4	1 2 3 4 None of these
54.	54	2	1 2 3 4 None of these
55.	55	4	1 2 3 4 None of these
56.	56	4	1 2 3 4 None of these
57.	57	2	1 2 3 4 None of these
58.	58	3	1 2 3 4 None of these
59.	59	2	1 2 3 4 None of these
60.	60	3	1 2 3 4 None of these
Claimed Answer Key List Upload Document: General Test (501)No file chosen

In case the Candidates want to submit documents in supports of challenge of answer key, they should uploads the PDF file with Maximum size of 1 MB.

Subject 6: Mathematics / Applied Mathematics (319)
Sr. No.	Question ID	Correct Options/Answers	Options/Answer for Challenge
1.	1	4	1 2 3 4 None of these
2.	2	2	1 2 3 4 None of these
3.	3	1	1 2 3 4 None of these
4.	4	4	1 2 3 4 None of these
5.	5	3	1 2 3 4 None of these
6.	6	2	1 2 3 4 None of these
7.	7	2	1 2 3 4 None of these
8.	8	3	1 2 3 4 None of these
9.	9	2	1 2 3 4 None of these
10.	10	4	1 2 3 4 None of these
11.	11	2	1 2 3 4 None of these
12.	12	4	1 2 3 4 None of these
13.	13	4	1 2 3 4 None of these
14.	14	2	1 2 3 4 None of these
15.	15	1	1 2 3 4 None of these
16.	16	2	1 2 3 4 None of these
17.	17	2	1 2 3 4 None of these
18.	18	1	1 2 3 4 None of these
19.	19	3	1 2 3 4 None of these
20.	20	4	1 2 3 4 None of these
21.	21	4	1 2 3 4 None of these
22.	22	4	1 2 3 4 None of these
23.	23	2	1 2 3 4 None of these
24.	24	4	1 2 3 4 None of these
25.	25	1	1 2 3 4 None of these
26.	26	1	1 2 3 4 None of these
27.	27	2	1 2 3 4 None of these
28.	28	4	1 2 3 4 None of these
29.	29	4	1 2 3 4 None of these
30.	30	3	1 2 3 4 None of these
31.	31	3	1 2 3 4 None of these
32.	32	1	1 2 3 4 None of these
33.	33	3	1 2 3 4 None of these
34.	34	3	1 2 3 4 None of these
35.	35	3	1 2 3 4 None of these
36.	36	2	1 2 3 4 None of these
37.	37	4	1 2 3 4 None of these
38.	38	1	1 2 3 4 None of these
39.	39	1	1 2 3 4 None of these
40.	40	2	1 2 3 4 None of these
41.	41	3	1 2 3 4 None of these
42.	42	2	1 2 3 4 None of these
43.	43	4	1 2 3 4 None of these
44.	44	3	1 2 3 4 None of these
45.	45	2	1 2 3 4 None of these
46.	46	1	1 2 3 4 None of these
47.	47	4	1 2 3 4 None of these
48.	48	2	1 2 3 4 None of these
49.	49	4	1 2 3 4 None of these
50.	50	1	1 2 3 4 None of these
51.	51	3	1 2 3 4 None of these
52.	52	3	1 2 3 4 None of these
53.	53	4	1 2 3 4 None of these
54.	54	2	1 2 3 4 None of these
55.	55	3	1 2 3 4 None of these
56.	56	2	1 2 3 4 None of these
57.	57	3	1 2 3 4 None of these
58.	58	2	1 2 3 4 None of these
59.	59	3	1 2 3 4 None of these
60.	60	3	1 2 3 4 None of these
61.	61	3	1 2 3 4 None of these
62.	62	1	1 2 3 4 None of these
63.	63	3	1 2 3 4 None of these
64.	64	3	1 2 3 4 None of these
65.	65	3	1 2 3 4 None of these
66.	66	4	1 2 3 4 None of these
67.	67	1	1 2 3 4 None of these
68.	68	1	1 2 3 4 None of these
69.	69	1	1 2 3 4 None of these
70.	70	1	1 2 3 4 None of these
71.	71	2	1 2 3 4 None of these
72.	72	4	1 2 3 4 None of these
73.	73	3	1 2 3 4 None of these
74.	74	1	1 2 3 4 None of these
75.	75	1	1 2 3 4 None of these
76.	76	1	1 2 3 4 None of these
77.	77	4	1 2 3 4 None of these
78.	78	4	1 2 3 4 None of these
79.	79	2	1 2 3 4 None of these
80.	80	2	1 2 3 4 None of these
81.	81	3	1 2 3 4 None of these
82.	82	4	1 2 3 4 None of these
83.	83	2	1 2 3 4 None of these
84.	84	2	1 2 3 4 None of these
85.	85	2	1 2 3 4 None of these
Claimed Answer Key List Upload Document: Mathematics / Applied Mathematics (319)
